Date,Severity,Size,Intensity
2018-03-18,S2,202968.70155109823,496465.94288585195
2018-03-19,S1,3854970.7595375245,6361357.034075492
2018-03-19,S2,265332.34276458906,667573.7525714505
2018-03-20,S1,3793631.5409363555,6199570.5414970415
2018-03-20,S2,235640.23028152247,607162.2104272966
2018-03-21,S1,2187288.9124021214,3681129.6845424133
2018-03-21,S2,296845.0635063743,753669.617883104
2018-03-22,S1,1854170.7282397174,3214984.261348777
2018-03-22,S2,355813.4558250169,907798.1202445242
2018-03-23,S1,2100634.5682380423,3655538.393133217
2018-03-23,S2,476261.7342564624,1219098.2401155275
2018-03-24,S1,7514453.339015601,11980748.991299156
2018-03-24,S2,592985.5627207665,1499680.7946616423
2018-03-25,S1,7819365.188893571,12592592.30035636
2018-03-25,S2,656412.6378638083,1664026.566042723
2018-03-26,S1,7207711.148218898,11534647.925258605
2018-03-26,S2,662616.7537226802,1704541.7675769676
2018-03-27,S1,6698106.4981910195,10847069.035197621
2018-03-27,S2,654078.7016496267,1687926.667830152
2018-03-28,S1,6906742.203353302,11282527.768196097
2018-03-28,S2,641323.8803213221,1639191.0875345378
2018-03-29,S1,7793403.2933872165,12517553.075271633
2018-03-29,S2,623751.3700118078,1570772.7394358974
2018-03-30,S1,7887766.1034769565,12575849.358040724
2018-03-30,S2,682427.9696616561,1668852.5738193681
2018-03-31,S1,6553795.247305325,10492538.110357916
2018-03-31,S2,302285.1542505356,746797.6061590775
2018-04-01,S1,6309941.547592052,10010208.536969114
2018-04-01,S2,242047.88195853797,612763.4382278378
2018-04-02,S1,6489325.179532417,10421169.786567163
2018-04-02,S2,294138.0171086239,725608.80000649
2018-04-03,S1,6377414.177405035,10417508.436990334
2018-04-03,S2,311597.97444079164,771286.2024787248
2018-04-04,S1,6782354.156702546,10962890.170568386
2018-04-04,S2,416613.6976672489,1001514.9210955626
2018-04-05,S1,6691915.372324406,10840597.319288712
2018-04-05,S2,404188.1394118369,983731.5475346608
2018-04-06,S1,6956743.899154943,11233653.170943571
2018-04-06,S2,385981.11516183335,935705.6611300911
2018-04-07,S1,6893735.385904739,11045108.913604964
2018-04-07,S2,302340.3714641519,735761.2987582157
2018-04-08,S1,6262370.13787245,9945708.431034071
2018-04-08,S2,178375.30825760172,435012.4968005957
2018-04-09,S1,5670540.748503973,8863758.885560827
2018-04-09,S2,147498.38504986564,369771.5092529964
2018-04-10,S1,4828635.662993985,7241436.5477166
2018-04-10,S2,99265.41960711959,250738.4143108878
2018-04-11,S1,2921044.39799622,4255745.473916164
2018-04-11,S2,104768.99828702382,265544.6161307125
2018-04-12,S1,2666945.7839611406,3861393.4549601623
2018-04-12,S2,97533.61791942497,243098.55489465687
2018-04-13,S1,2533181.930846578,3678944.454536119
2018-04-13,S2,111952.55313445466,273226.8139264232
2018-04-14,S1,1996319.3588023947,2984301.0878828964
2018-04-14,S2,126423.47937829,313255.9378863885
2018-04-15,S1,2062809.221838573,3011722.853688675
2018-04-15,S2,128019.76934827009,309023.9070242587
2018-04-16,S1,2455990.6466281214,3422889.03409501
2018-04-16,S2,139093.30570072398,331427.26316976594
2018-04-17,S1,4439107.179453787,6382324.501111107
2018-04-17,S2,166006.8446757719,403705.7017721909
2018-04-18,S1,2188120.496948962,2981024.1621137913
2018-04-18,S2,155317.34186617506,379441.22382666596
2018-04-19,S1,8674901.828284714,13633696.662816325
2018-04-19,S2,133295.2103215487,315611.8772799811
2018-04-20,S1,9373621.835006516,14903165.764301635
2018-04-20,S2,98482.31034270037,237457.7947101299
2018-04-21,S1,12137050.285779683,18790914.13741236
2018-04-21,S2,85231.82156444283,205287.95651696864
2018-04-22,S1,10950440.948563458,17062410.98483422
2018-04-22,S2,79213.42819469707,187657.0808868079
2018-04-23,S1,11378535.663842129,17460167.98122088
