lon,lat,year,max_intensity
152.375,-51.125,1989,108.3067
152.375,-50.875,1989,101.43
152.375,-50.625,2017,95.9076
152.375,-50.375,2013,96.525
152.375,-50.125,2013,120.3399
152.375,-49.875,1989,142.4331
152.375,-49.625,2012,153.247
152.375,-49.375,1989,187.2153
152.375,-49.125,1989,156.5169
152.375,-48.875,2012,142.8256
152.375,-48.625,2012,136.7105
152.375,-48.375,2012,173.6945
152.375,-48.125,2012,101.7927
152.375,-47.875,2016,100.8371
152.375,-47.625,2018,155.0575
152.375,-47.375,2018,194.5479
152.375,-47.125,2016,206.852
152.375,-46.875,2016,229.3755
152.375,-46.625,2016,244.4281
152.375,-46.375,2016,175.9325
152.375,-46.125,2015,140.8263
152.375,-45.875,2016,129.9886
152.375,-45.625,2018,135.9495
152.375,-45.375,2017,131.2105
152.375,-45.125,2016,305.4416
152.375,-44.875,2016,284.1553
152.375,-44.625,2005,136.6963
152.375,-44.375,2015,153.7324
152.375,-44.125,2012,110.9563
152.375,-43.875,2015,217.8131
152.375,-43.625,2016,397.807
152.375,-43.375,2016,465.8592
152.375,-43.125,2015,364.8279
152.375,-42.875,2015,366.6516
152.375,-42.625,2015,351.9991
152.375,-42.375,2015,284.6683
152.375,-42.125,2015,299.4181
152.375,-41.875,2015,292.4825
152.375,-41.625,2017,278.0317
152.375,-41.375,2015,183.3261
152.375,-41.125,2018,200.3551
152.375,-40.875,2016,272.0451
152.375,-40.625,2016,264.9547
152.375,-40.375,2017,346.6179
152.375,-40.125,2017,387.3115
152.375,-39.875,2017,359.2933
152.375,-39.625,2017,334.7961
152.375,-39.375,2017,302.9917
152.375,-39.125,2016,357.7747
152.375,-38.875,2016,323.7068
152.375,-38.625,2016,270.9509
152.375,-38.375,2016,221.4861
152.375,-38.125,2014,214.0837
152.375,-37.875,2014,220.9467
152.375,-37.625,2014,175.8769
